step,loss,acc_top1,acc_top5,learning_rate
26700,0.8584604263305664,81.25,89.84375,0.0003
26800,0.6861808896064758,87.5,91.40625,0.0003
26900,0.5901302099227905,87.890625,94.140625,0.0003
27000,0.8931988477706909,80.46875,91.015625,0.0003
27100,0.911855936050415,80.46875,89.453125,0.0003
27200,0.6394190192222595,85.546875,94.921875,0.0003
27300,0.5106881856918335,91.015625,96.09375,0.0003
27400,0.6305195093154907,86.71875,93.359375,0.0003
27500,0.902695894241333,81.640625,90.625,0.0003
27600,1.1322168111801147,77.34375,87.890625,0.0003
27700,0.7532002925872803,81.640625,94.140625,0.0003
27800,0.9769182801246643,76.953125,87.890625,0.0003
27900,0.9162879586219788,80.859375,89.453125,0.0003
28000,1.108870029449463,76.953125,86.71875,0.0003
28100,0.8637310862541199,82.8125,90.625,0.0003
28200,0.8644899725914001,85.15625,91.015625,0.0003
28300,0.7764622569084167,83.984375,93.359375,0.0003
28400,0.7078688144683838,83.59375,92.578125,0.0003
28500,0.6857242584228516,85.15625,93.359375,0.0003
28600,0.9747759699821472,78.90625,88.28125,0.0003
28700,0.8072060346603394,83.203125,92.1875,0.0003
28800,0.7840996980667114,81.640625,90.625,0.0003
28900,0.6773032546043396,84.375,94.53125,0.0003
29000,0.8595229983329773,83.203125,91.796875,0.0003
29100,0.7287501692771912,85.9375,91.015625,0.0003
29200,0.6331075429916382,84.765625,94.140625,0.0003
29300,0.8097031116485596,82.8125,91.015625,0.0003
29400,0.7527103424072266,84.375,92.578125,0.0003
29500,0.7808122634887695,85.15625,94.53125,0.0003
29600,0.9721204042434692,81.25,88.671875,0.0003
29700,0.705197811126709,87.109375,91.796875,0.0003
29800,0.86483234167099,82.8125,89.84375,0.0003
29900,0.6619149446487427,89.453125,94.921875,0.0003
30000,0.46327316761016846,89.84375,96.875,0.0003
30100,0.7195667624473572,82.8125,92.96875,0.0003
30200,0.8873764872550964,78.515625,89.453125,0.0003
30300,0.6721351742744446,84.765625,94.921875,0.0003
30400,0.7423717975616455,83.984375,93.359375,0.0003
30500,0.6764047741889954,84.375,93.359375,0.0003
30600,1.0273141860961914,78.125,89.453125,0.0003
30700,0.6883758306503296,84.375,93.359375,0.0003
30800,0.6253782510757446,86.71875,94.53125,0.0003
30900,0.7633457779884338,84.375,94.140625,0.0003
31000,0.6298683285713196,85.546875,94.140625,0.0003
